CUSIP,MASTER_DEAL_NO,NINAMES,PRINCIPALAMOUNT,EXCHANGE,INDUSTRY,MKTVALUEPF,industry_code,year,fees,offer_price
580037,1099117009,McDermott International Inc,15.375,New York,Pers/Bus/Rep Svc,1141.5,8,1995,0.75,15.375
860342,1099118009,Stewart & Stevenson Services,10.6,Nasdaq,Manufacturing,850.9,3,1995,2.12,53
42221H,1099120009,HealthTrust Inc-The Hospital,49,New York,Healthcare,,8,1995,0.77,14
464330,1099133009,Isis Pharmaceuticals Inc,2.5,Nasdaq,Manufacturing,,2,1995,0.75,12.5
204932,1099139009,CompUSA Inc,18.182,New York,Retail,201.1,5,1995,1,15
208464,1099140009,Conseco Inc,29.575,New York,Insurance,4795.9,6,1995,4.83,57
812007,1099144009,Seagull Energy Corp,7.725,New York,Gas Distribution,,4,1995,1.1,25.75
983919,1099146009,Xilinx Inc,12.5,Nasdaq,Manufacturing,,3,1995,1,25
121897,1099148009,Burlington Northern Inc,64.35,New York,Transportation,3045.3,4,1995,0.98,35.75
194162,1099149009,Colgate-Palmolive Co,115,New York,Manufacturing,3124.1,2,1995,1.2,40
440327,1099151009,Horace Mann Educators Corp,37.8,New York,Insurance,,6,1995,0.99,18
749651,1099154009,ROC Taiwan Fund,31.825,New York,Other Finance,,6,1995,1.087,21.75
059438,1099157009,"BANC ONE Corp,Columbus,Ohio",74.175,New York,Commercial Bank,12870.4,6,1995,1.07,43
382550,1099161009,Goodyear Tire & Rubber Co,135,New York,Manufacturing,,3,1995,1.48,50
421933,1099162009,Health Management Assoc Inc,17.034,New York,Healthcare,312.6,8,1995,1.33,28
720035,1099167009,PictureTel Corp,14.4,Nasdaq,Manufacturing,176.6,3,1995,1.8,36
693475,1099168009,"PNC Financial,Pittsburgh,PA",88.234,New York,Commercial Bank,4513.9,6,1995,1.18,42.625
92532F,1099172009,Vertex Pharmaceuticals Inc,5.5,Nasdaq,Manufacturing,,2,1995,,13.75
23571Y,1099173009,Damon Corporation,22.2,New York,Manufacturing,,3,1995,,18.5
008488,1099175009,Agouron Pharmaceuticals Inc,9.625,Nasdaq,Manufacturing,,2,1995,1.15,19.25
073304,1099177009,BE Avionics Inc,11.5,Nasdaq,Manufacturing,,3,1995,0.65,11.5
518279,1099178009,Latin America Investment Fund,18,New York,Investment Fund,,6,1995,1.05,15
26633L,1099179009,Duracell International Inc,69,New York,Manufacturing,,3,1995,1.08,28.75
228255,1099183009,Crown Cork & Seal Co,20.194,New York,Manufacturing,2674.6,3,1995,2,89.75
337358,1099184009,"First Union Corp,Charlotte,NC",48.516,New York,Commercial Bank,3333.3,6,1995,3.13,28.125
802183,1099190009,Santa Fe Pacific Corp,48.516,New York,Transportation,1621.6,4,1995,0.41,9.375
G90751,1099191009,Triton Energy Corp,22.8,New York,Natural Resource,,1,1995,,38
171196,1099197009,Chrysler Corp,58.219,New York,Manufacturing,,3,1995,4.64,10.125
316866,1099206009,Filene's Basement Corp,14.52,Nasdaq,Retail,,5,1995,4.77,22
589580,1099207009,Meridian Bancorp Inc,11.4,Nasdaq,Commercial Bank,,6,1995,3.47,19
126920,1099211009,Cabletron Systems Inc,25.875,New York,Manufacturing,,3,1995,3.49,45
747262,1099215009,QVC Network Inc,7.313,Nasdaq,Radio/TV/Telecom,,4,1995,0.77,14.625
143658,1099233009,Carnival Cruise Lines Inc,38.818,New York,Restaurant/Hotel,3123.6,7,1995,3.53,21.5
417119,1099234009,Hartmarx Corp,8.17,New York,Retail,234.1,5,1995,4.74,9.5
87911D,1099235009,Teknekron Communications Sys,12.5,Nasdaq,Pers/Bus/Rep Svc,,7,1995,,10
832388,1099237009,Smith's Food & Drug Centers,34.96,New York,Retail,1161.4,5,1995,3.95,38
887315,1099238009,Time Warner,300,New York,Leisure,,7,1995,,80
007923,1099240009,Advanced Telecommunications,9.5,Nasdaq,Telephone Commun,396.1,4,1995,4.1,19
170032,1099241009,Chiquita Brands International,59.575,New York,Agriculture,,0,1995,3.44,43.625
698462,1099243009,Panhandle Eastern Corp,29.67,New York,Natural Resource,1124.5,1,1995,4.09,10.75
320245,1099252009,First Financial Management,27.7,New York,Pers/Bus/Rep Svc,1094.9,7,1995,3.25,34.625
707832,1099253009,Penn Traffic Co,8.4,Nasdaq,Retail,,5,1995,5.25,24
904677,1099260009,Unifi Inc,20.745,New York,Manufacturing,765.4,2,1995,3.76,33.25
460334,1099263009,International Specialty Prods,58.723,New York,Manufacturing,,2,1995,5.26,15.5
422660,1099274009,Hechinger Co,8.4,Nasdaq,Retail,491,5,1995,,12
922126,1099275009,Varco International Inc,6.65,New York,Manufacturing,587.2,3,1995,5,9.5
543859,1099276009,Loral Corp,32.2,New York,Manufacturing,41383.8,3,1995,,40.25
755267,1099280009,Readers Digest Association Inc,95.594,New York,Manufacturing,3969.6,2,1995,3,33.25
74342A,1099283009,Promus Cos Inc,19,New York,Restaurant/Hotel,638.4,7,1995,4.47,19
749651,1099284009,ROC Taiwan Fund,43.5,New York,Other Finance,,6,1995,1.17,23.375
92889V,1099295009,"Vons Companies, Inc (The)",56,New York,Retail,,5,1995,,28
124800,1099297009,CBI Industries Inc,20.588,New York,Manufacturing,765.5,2,1995,,45.75
618447,1099303009,Morrison-Knudsen Corp,16.215,New York,Construction,,1,1995,3.94,47
05616J,1099304009,BWIP Holdings Inc,23.2,New York,Manufacturing,,3,1995,,14.5
007948,1099305009,Advanced Logic Research Inc,1.875,Nasdaq,Manufacturing,,3,1995,,12.5
451841,1099306009,Illinois Central Corp,16.988,Nasdaq,Transportation,,4,1995,4.61,18.875
52323X,1099309009,"Lechters, Inc.",9.261,New York,Retail,,5,1995,4.8,26
026375,1099311009,American Greetings Corp,28.07,Nasdaq,Manufacturing,2236.4,2,1995,,35.375
422893,1099312009,Heilig-Meyers Co,10.7,New York,Retail,336.4,5,1995,4.49,26.75
036115,1099313009,AnnTaylor Stores Corp,35.561,New York,Retail,2247,5,1995,5.76,26
480074,1099317009,Jones Apparel Group Inc,15.4,New York,Manufacturing,,2,1995,6.43,14
405024,1099327009,Haemonetics Corp,29.766,New York,Manufacturing,463.3,3,1995,6.59,22
960402,1099330009,Westinghouse Electric Corp,119.25,New York,Manufacturing,8299.5,3,1995,3.29,26.5
862111,1099331009,Storage Technology Corp,35.363,New York,Manufacturing,2851.3,3,1995,4,41
628855,1099332009,"NCNB Corp,Charlotte,NC",64.256,New York,Commercial Bank,4260,6,1995,2.73,37.25
767754,1099333009,Rite Aid Corp,34,New York,Retail,35466.7,5,1995,,42.5
778303,1099335009,Ross Systems Inc,5.5,Nasdaq,Pers/Bus/Rep Svc,,7,1995,,10
339130,1099342009,Fleming Cos Inc,33.12,New York,Retail,1265.3,5,1995,,36
63633F,1099344009,Natl Health Laboratories Inc,224.869,New York,Healthcare,,8,1995,4.03,17.875
129598,1099345009,Calgene Inc,6,Nasdaq,Agriculture,,0,1995,,6
12878K,1099346009,Caldor Corporation (The),21.63,New York,Retail,,5,1995,7,21
441815,1099347009,Household International Inc,14.1,New York,Credit Inst.,1817.6,6,1995,3,47
55262C,1099348009,MBIA Inc,70,New York,Insurance,1339.4,6,1995,3.43,35
460254,1099349009,International Rectifier Corp,18.48,New York,Manufacturing,344.2,3,1995,4.36,22
317867,1099350009,Fingerhut Cos(Primerica Corp),22.364,New York,Retail,589.4,5,1995,4.25,25.625
437076,1099351009,Home Depot Inc,120.75,New York,Retail,7094.7,5,1995,2.84,56
081721,1099353009,Beneficial Corp,32.559,New York,Credit Inst.,1463.8,6,1995,2.49,56.625
74960K,1099355009,RJR Nabisco Holdings Corp,310.5,New York,Manufacturing,,2,1995,4.44,11.25
74960K,1099356009,RJR Nabisco Holdings Corp,90.563,New York,Manufacturing,,2,1995,4.44,11.25
247361,1099358009,Delta Air Lines Inc,69.25,New York,Transportation,,4,1995,1.75,69.25
254063,1099359009,Dillard Department Stores Inc,99,New York,Retail,,5,1995,2.81,99
58499L,1099364009,MediTrust Inc,88.244,New York,Real Estate,,6,1995,,23.25
247025,1099365009,Dell Computer Corp,22.281,Nasdaq,Manufacturing,671.4,3,1995,4.49,29
087851,1099366009,Beverly Enterprises Inc,18.544,New York,Healthcare,783.4,8,1995,5.2,10.75
45253H,1099369009,ImmunoGen Inc,7.6,Nasdaq,Pers/Bus/Rep Svc,,8,1995,6,19
827066,1099373009,Silicon Valley Group Inc,6.545,Nasdaq,Manufacturing,142.9,3,1995,0.44,9.625
902549,1099375009,UAL Corp,29.2,New York,Transportation,12999.8,4,1995,1.75,146
22160K,1099381009,Costco Wholesale Corp,29.5,Nasdaq,Retail,24654,5,1995,2.97,59
669380,1099382009,"Norwest Corp,Minneapolis,MN",24.875,New York,Commercial Bank,,6,1995,2.73,24.875
938815,1099388009,Washington Energy Co,8.55,Nasdaq,Gas Distribution,357,4,1995,3.79,19
638620,1099390009,Nationwide Health Properties,39,New York,REIT,,6,1995,,19.5
001765,1099393009,AMR Corp,60.375,New York,Transportation,3572.6,4,1995,2,52.5
462218,1099394009,Ionics Inc,8.913,New York,Manufacturing,175.7,3,1995,4.51,31
89859J,1302794034,Tuboscope Corporation,,New York,Pers/Bus/Rep Svc,,7,1995,,
293561,1303787034,Enron Corp,,New York,Natural Resource,,1,1995,,
695114,1599911034,PacifiCorp,,New York,Electric Service,,4,1995,,
62552M,1600111034,Multi-Local Media Info Grp,,New York,Pers/Bus/Rep Svc,,7,1995,,
293561,1600917034,Enron Corp,,New York,Natural Resource,,1,1995,,
566140,185697002,Marcam Corp,31.5,Nasdaq,Pers/Bus/Rep Svc,130.1,7,1995,5.524,21
462218,186342002,Ionics Inc,32.55,New York,Manufacturing,175.7,3,1995,4.516,31
001765,186493002,AMR Corp,210,New York,Transportation,3572.6,4,1995,2,52.5
873168,187198002,Texas Utilities Co,217.5,New York,Electric Service,,4,1995,2.455,36.25
938815,192153002,Washington Energy Co,42.75,Nasdaq,Gas Distribution,357,4,1995,3.789,19
636180,192444002,National Fuel Gas Co,46,New York,Gas Distribution,702.2,4,1995,4.217,23
269242,192997002,E'town Corp,11.75,Nasdaq,Water Supply,,4,1995,4.468,23.5
811804,193133002,Seagate Technology Inc,149.8,Nasdaq,Manufacturing,888.8,3,1995,4.214,14
737679,193649002,Potomac Electric Power Company,96.188,New York,Electric Service,,4,1995,3.228,21.375
686079,193652002,Oregon Steel Mills Inc,71.25,New York,Manufacturing,526.6,3,1995,4.526,28.5
422347,194097002,Heartland Express Inc,16.413,Nasdaq,Transportation,122.5,4,1995,5.03,25.25
380198,194244002,Go-Video Inc,5.95,Nasdaq,Manufacturing,36.1,3,1995,8.75,3.5
677864,194363002,Oil-Dri Corp of America,25.732,New York,Manufacturing,149.4,3,1995,6.238,21
350401,194364002,Foundation Health Corp,146.25,New York,Insurance,237,6,1995,5.005,24.375
009498,194626002,Airship International Ltd,4.5,Nasdaq,Pers/Bus/Rep Svc,,7,1995,10,1
669380,194669002,"Norwest Corp,Minneapolis,MN",149.25,New York,Commercial Bank,535.7,6,1995,2.734,24.875
92855M,194676002,Vivra Inc,33,New York,Healthcare,264.9,8,1995,5,33
922602,194875002,Vencor Inc,31.688,Nasdaq,Healthcare,440.8,8,1995,5.456,24.375
222372,194964002,Countrywide Credit Industries,42.875,New York,Mortgage Bank,253.2,6,1995,5.469,12.25
224100,194981002,Cracker Barrel Old Country Str,49.875,Nasdaq,Restaurant/Hotel,1637.9,5,1995,4.602,33.25
22160K,195070002,Costco Wholesale Corp,147.5,Nasdaq,Retail,,5,1995,2.966,59
001907,195276002,AST Research Inc,49.5,Nasdaq,Manufacturing,804.6,3,1995,4,24.75
928469,195410002,Vital Signs Inc,21.9,Nasdaq,Manufacturing,203.8,3,1995,5.479,18.25
170040,195523002,Chiron Corp,115,Nasdaq,Manufacturing,368.1,2,1995,4.243,57.5
681919,195524002,Omnicom Group Inc,39.75,New York,Pers/Bus/Rep Svc,741.9,7,1995,3.019,26.5
422178,195688002,Health Images Inc,27,Nasdaq,Healthcare,,8,1995,5.481,13.5
040863,195778002,Arkansas Freightways,36.613,Nasdaq,Transportation,172.4,4,1995,4.95,25.25
910581,196001002,United HealthCare Corp,90,New York,Insurance,916.4,6,1995,4.1,30
153609,196147002,Central Hudson Gas & Electric,14.325,New York,Electric Service,,4,1995,3.749,23.875
88162F,196255002,TETRA Technologies Inc,49.7,New York,Natural Resource,,1,1995,5.521,17.75
590436,196256002,Merry-Go-Round Enterprises Inc,58.388,New York,Retail,776.9,5,1995,4.532,21.625
827066,196360002,Silicon Valley Group Inc,23.1,Nasdaq,Manufacturing,142.9,3,1995,6.442,9.625
452527,196361002,Immunex Corp,107,Nasdaq,Manufacturing,779.6,2,1995,4.486,53.5
114259,196365002,Brooklyn Union Gas Co,73.775,New York,Oil/Gas Pipeline,788.2,4,1995,3.242,28.375
172909,196366002,Circus Circus Enterprises Inc,158.125,New York,Restaurant/Hotel,1738.7,7,1995,2.245,63.25
387328,196367002,Granite Construction Inc,53.35,Nasdaq,Construction,123.9,1,1995,5.155,24.25
902549,196368002,UAL Corp,189.8,New York,Transportation,,4,1995,1.753,146
493263,196424002,"KeyCorp,Albany,NY(Key Corp,OH)",111,New York,Commercial Bank,568.4,6,1995,3.604,27.75
169055,196576002,Chilis Inc,43.063,New York,Restaurant/Hotel,606.4,5,1995,4.377,33.125
914900,196588002,Uno Restaurant Corp,17.55,New York,Restaurant/Hotel,130.2,5,1995,5.265,14.625
019076,196612002,Allied Clinical Laboratories,28,Nasdaq,Healthcare,127.4,8,1995,5.188,16
695114,196718002,PacifiCorp,95.063,New York,Electric Service,5444,4,1995,2.698,21.125
45253H,196749002,ImmunoGen Inc,30.4,Nasdaq,Pers/Bus/Rep Svc,,8,1995,6,19
808905,196756002,Scios Inc,36.563,Nasdaq,Manufacturing,213.3,2,1995,5.47,14.625
744573,196838002,Public Svc Enterprise Grp Inc,120.375,New York,Electric Service,,4,1995,2.841,26.75
184190,196863002,Clayton Homes Inc,14.513,New York,Construction,336.1,1,1995,4.713,16.125
319356,196879002,First Brands Corp,201.505,New York,Manufacturing,516.1,2,1995,4,23.875
372917,197006002,Genzyme Corp,97.625,Nasdaq,Manufacturing,268,2,1995,4.225,35.5
372450,197007002,Gensia Pharmaceuticals Inc,33.35,Nasdaq,Manufacturing,164.9,2,1995,5.517,14.5
376392,197342002,Glacier Holdings Inc,2.625,Nasdaq,Manufacturing,5.7,3,1995,10,2.625
299900,197354002,Evergreen Resources Inc,3.625,Nasdaq,Natural Resource,,1,1995,10,3.625
871594,197384002,Synergen Inc,86.25,Nasdaq,Manufacturing,,2,1995,4.58,34.5
536310,197394002,Liposome Co Inc,37.625,Nasdaq,Manufacturing,191.9,2,1995,5.767,10.75
087851,197520002,Beverly Enterprises Inc,48.375,New York,Healthcare,773.7,8,1995,5.209,10.75
247025,197531002,Dell Computer Corp,81.2,Nasdaq,Manufacturing,671.4,3,1995,4.483,29
500453,197534002,Komag Inc,39,Nasdaq,Manufacturing,,3,1995,5.026,19.5
720186,197891002,Piedmont Natural Gas Co Inc,35.625,New York,Gas Distribution,341,4,1995,3.719,28.5
59523F,197893002,Mid-American Waste Systems Inc,90,Nasdaq,Sanitation,389.9,4,1995,5,30
983907,197895002,Xoma Corp,79.5,Nasdaq,Healthcare,7189,8,1995,4.717,26.5
247361,198381002,Delta Air Lines Inc,415.5,New York,Transportation,,4,1995,1.747,69.25
720035,198616002,PictureTel Corp,41.5,Nasdaq,Manufacturing,108,3,1995,6.988,20.75
437076,198729002,Home Depot Inc,315,New York,Retail,7094.7,5,1995,2.857,56
081721,198733002,Beneficial Corp,141.563,New York,Credit Inst.,1438.3,6,1995,2.49,56.625
74960K,198734002,RJR Nabisco Holdings Corp,776.25,New York,Manufacturing,41763.6,2,1995,4.444,11.25
317867,205220002,Fingerhut Cos(Primerica Corp),78.156,New York,Retail,589.4,5,1995,4.254,25.625
457952,205440002,Integrated Waste Services Inc,14.4,Nasdaq,Sanitation,62.5,4,1995,8,8
460254,205490002,International Rectifier Corp,73.92,New York,Manufacturing,340.4,3,1995,4.364,22
458157,205520002,Intelligent Electronics Inc,99,Nasdaq,Wholesale,493.4,5,1995,4.091,33
925454,205523002,Vestar Inc,15,Nasdaq,Manufacturing,66.6,2,1995,6.667,7.5
037917,205544002,Applied Bioscience Intl(IMS),37.375,Nasdaq,Pers/Bus/Rep Svc,313.5,8,1995,5.217,28.75
293904,205545002,Enzon Inc,33.375,Nasdaq,Manufacturing,84.3,2,1995,5.933,11.125
096650,205813002,"Boatmen's Bancshares,St Louis",100.1,Nasdaq,Commercial Bank,1450.7,6,1995,3.299,38.5
55262C,205818002,MBIA Inc,332.5,New York,Insurance,,6,1995,3.429,35
452454,205992002,IMCERA Group Inc,194,New York,Manufacturing,2418,3,1995,2,97
42221E,206040002,Healthsource Inc,59,Nasdaq,Healthcare,243.3,8,1995,5.017,29.5
441815,206042002,Household International Inc,103.4,New York,Credit Inst.,1817.6,6,1995,3,47
099843,206052002,Borland International Inc,57.25,Nasdaq,Pers/Bus/Rep Svc,849,7,1995,4.996,57.25
038760,206137002,Arbor Drugs Inc,47.5,Nasdaq,Retail,,5,1995,3.789,23.75
926913,206141002,Viking Office Products Inc,4.885,Nasdaq,Retail,17.5,5,1995,6.954,16.25
129598,206142002,Calgene Inc,15,Nasdaq,Agriculture,85.6,0,1995,6.667,6
723429,206322002,Pinkerton's Inc,52,Nasdaq,Pers/Bus/Rep Svc,155.2,7,1995,5.077,26
889478,206323002,Toll Brothers Inc,29.813,New York,Construction,213.2,1,1995,6,6.625
302846,206324002,Fabri-Centers of America Inc,38.838,New York,Retail,,5,1995,4.854,29.875
574599,206425002,Masco Corp,66,New York,Manufacturing,2923,2,1995,3.636,22
383485,206427002,Gottschalks Inc,31.93,New York,Retail,159.7,5,1995,5.226,15.5
594907,206428002,Micropolis Corp,27,Nasdaq,Manufacturing,188.4,3,1995,5.259,13.5
63633F,206430002,Natl Health Laboratories Inc,500.5,New York,Healthcare,708.3,8,1995,4.028,17.875
41043F,206431002,Hanger Orthopedic Group Inc,13.75,New York,Healthcare,,8,1995,7.8,5
339130,206511002,Fleming Cos Inc,115.2,New York,Retail,1265.3,5,1995,3.25,36
576853,206515002,Matrix Service Co,30,Nasdaq,Construction,,1,1995,5.493,18.75
421924,206593002,HealthSouth Rehabilitation,64,New York,Healthcare,561.8,8,1995,4.5,32
862111,206600002,Storage Technology Corp,92.25,New York,Manufacturing,2815.9,3,1995,4,41
767754,206604002,Rite Aid Corp,136,New York,Retail,35466.7,5,1995,3,42.5
628855,206614002,"NCNB Corp,Charlotte,NC",316.625,New York,Commercial Bank,4204.1,6,1995,2.738,37.25
302426,206615002,FHP International Corp,104.625,Nasdaq,Healthcare,753.1,8,1995,4,23.25
872342,206623002,T Cell Sciences Inc,13,Nasdaq,Manufacturing,12294,2,1995,6.308,6.5
920469,206626002,Value Merchants,20.625,Nasdaq,Wholesale,102.3,5,1995,6,15
337738,206792002,Fiserv Inc,45.9,Nasdaq,Pers/Bus/Rep Svc,134.6,7,1995,4.366,38.25
341109,206890002,Florida Progress Corp,108,New York,Electric Service,2188,4,1995,2.65,40
211642,206903002,Continental Medical Systems,67.5,Nasdaq,Healthcare,554.7,8,1995,4.756,22.5
911200,207010002,United New Mexico Financial,20.5,Nasdaq,Commercial Bank,,6,1995,6,10.25
091311,207035002,Birtcher Medical Systems Inc,15,Nasdaq,Manufacturing,36.4,3,1995,6.5,10
048903,207040002,Atlantic Energy(AmeriGas),62.1,New York,Electric Service,464,4,1995,2.696,34.5
460593,207041002,Interphase Corp,12,Nasdaq,Manufacturing,,3,1995,6,12
719405,207083002,Photronics Inc,16.8,Nasdaq,Manufacturing,32.7,3,1995,6,14
761230,207091002,Respironics Inc,10.875,Nasdaq,Manufacturing,21.8,3,1995,6.253,21.75
960402,207106002,Westinghouse Electric Corp,397.5,New York,Manufacturing,8299.5,3,1995,3.283,26.5
759916,207107002,Repligen Corp,25,Nasdaq,Manufacturing,140.9,2,1995,5.76,12.5
449669,207116002,IMC Fertilizer Group Inc,154,New York,Manufacturing,1206.4,2,1995,3.506,38.5
381136,207118002,Golden Nugget Inc,117,New York,Restaurant/Hotel,997.9,7,1995,3,26
925815,207121002,Vicor Corp,34,Nasdaq,Manufacturing,311,3,1995,6,34
580589,207126002,McGrath RentCorp,25.6,Nasdaq,Pers/Bus/Rep Svc,136.9,7,1995,5.5,16
674098,207127002,Oakwood Homes Corp,21.675,New York,Construction,74.3,1,1995,5.49,12.75
456905,207129002,Information Resources Inc,43,Nasdaq,Manufacturing,449.3,3,1995,5.256,21.5
026494,207457002,American Health Properties Inc,42.938,New York,REIT,469.4,6,1995,5.24,28.625
232824,207471002,Cytogen Corp,29.5,Nasdaq,Manufacturing,2342.3,2,1995,5.695,14.75
172070,207561002,Cincinnati Gas & Electric Co,98.038,New York,Electric Service,1207.3,4,1995,3.004,31.625
594079,207638002,Michael Foods Inc,43.594,Nasdaq,Manufacturing,374.5,2,1995,4.542,19.375
977395,207643002,With Design in Mind Intl,7.5,Nasdaq,Manufacturing,18.6,2,1995,8,5
068277,207651002,Baroid Corp,93.75,New York,Manufacturing,463.7,3,1995,3,6.25
382091,207925002,Good Guys Inc,39.113,Nasdaq,Retail,,5,1995,4.349,18.625
422893,207938002,Heilig-Meyers Co,42.8,New York,Retail,336.4,5,1995,4.486,26.75
247109,208048002,Delmarva Power & Light,58.4,New York,Electric Service,937.9,4,1995,3.425,18.25
236235,208118002,Daniel Industries Inc,23.888,New York,Manufacturing,,3,1995,5.007,18.375
359081,208121002,Frontier Insurance Group Inc,24,New York,Insurance,,6,1995,5.75,24
007948,208196002,Advanced Logic Research Inc,10.625,Nasdaq,Manufacturing,130.6,3,1995,5.92,12.5
490553,208197002,Kent Electronics Corp,23.25,New York,Wholesale,85.8,5,1995,5.806,15.5
909823,208198002,United Cities Gas Co,12.75,Nasdaq,Gas Distribution,106,4,1995,4.235,12.75
958043,208199002,Western Co of North America,45,New York,Manufacturing,177.3,3,1995,5,10
523238,208200002,Lechters Inc,34.151,Nasdaq,Retail,216.2,5,1995,4.808,26
02368M,208208002,Amer Adjustable Rate Term 1996,140,New York,Investment Fund,248.8,6,1995,4,10
461203,208236002,InvaCare Corp,27.84,Nasdaq,Manufacturing,771.5,3,1995,5.25,32
207567,208241002,Connecticut Energy,11.222,New York,Gas Distribution,116.4,4,1995,4.271,16.625
451841,208249002,Illinois Central Corp,60.4,Nasdaq,Transportation,504.9,4,1995,4.609,18.875
653818,208254002,Nichols Research Corp,11.25,Nasdaq,Pers/Bus/Rep Svc,,8,1995,5.778,11.25
732378,208387002,Ponder Industries Inc,5.281,Nasdaq,Pers/Bus/Rep Svc,131.4,7,1995,10,6.25
587342,208514002,"Mercantile Bancorp,St Louis,MO",37.05,Nasdaq,Other Finance,505.9,6,1995,3.614,28.5
618447,208519002,Morrison-Knudsen Corp,56.4,New York,Construction,373.7,1,1995,3.936,47
720279,208674002,Pier 1 Imports Inc,76.5,New York,Retail,4510.8,5,1995,5.882,6.375
685564,208675002,Orbital Sciences Corp,56.8,New York,Manufacturing,,3,1995,5.239,17.75
339018,208702002,"Fleet/Norstar Financial Grp,RI",212.188,New York,Commercial Bank,,6,1995,3.381,24.25
124800,208813002,CBI Industries Inc,73.2,New York,Manufacturing,751.8,2,1995,3.279,45.75
211113,208816002,Continental Bank Corp NA,174.172,New York,Commercial Bank,633.5,6,1995,3.843,12.75
928869,208820002,Vons Cos Inc,251.002,New York,Retail,1211,5,1995,3,28
206901,208894002,ConferTech International,8.508,Nasdaq,Manufacturing,26.9,3,1995,7.238,5.25
247909,209015002,Delta Woodside Industries Inc,39.95,New York,Manufacturing,245.1,2,1995,5,11.75
902686,209016002,UGI Corp,68,New York,Gas Distribution,302.2,4,1995,3.471,17
197709,209168002,Columbia Hospital Corp,61,Nasdaq,Healthcare,,8,1995,4.59,15.25
204672,209275002,Compression Labs Inc,34.5,Nasdaq,Manufacturing,181.8,3,1995,5.217,17.25
027425,209280002,American Medical Electronics,18.75,Nasdaq,Manufacturing,86.5,3,1995,6.5,12.5
527010,209293002,Leslie Fay Cos Inc,42.788,New York,Manufacturing,385.1,2,1995,5.006,20.375
903236,209294002,URS Corp,18.75,New York,Pers/Bus/Rep Svc,51.6,8,1995,6.4,7.5
019220,209370034,Allied Group Inc,37,Nasdaq,Insurance,,6,1995,,
74342A,209461002,Promus Cos Inc,114,New York,Restaurant/Hotel,638.4,7,1995,4.474,19
20476C,209560002,Comptronix Corp,10.156,Nasdaq,Manufacturing,65.3,3,1995,6.4,6.25
874036,209580002,The Taiwan Fund Inc,43.5,New York,Investment Fund,142,6,1995,5.005,23.375
637155,209781034,National Pizza Co,20.344,Nasdaq,Restaurant/Hotel,,5,1995,,
918031,209801034,Utilx Corp,17.995,Nasdaq,Construction,18,1,1995,,
060077,209815002,Bangor Hydro-Electric Co,12,Nasdaq,Electric Service,,4,1995,5,15
042698,209942002,Arrhythmia Research Technology,3.48,Nasdaq,Wholesale,12.4,5,1995,10,4
922126,209972002,Varco International Inc,26.6,New York,Manufacturing,587.2,3,1995,5,9.5
300645,209979002,EXAR Corp,27.75,Nasdaq,Manufacturing,,3,1995,5.459,18.5
419870,210116002,Hawaiian Electric Industries,41.25,New York,Electric Service,794.7,4,1995,3.491,34.375
543859,210123002,Loral Corp,128.8,New York,Manufacturing,1205.1,3,1995,3.354,40.25
200340,210127002,Comerica Inc,96.792,New York,Commercial Bank,783.5,6,1995,3.174,40.33
466032,210129002,J&J Snack Foods Corp,29.425,Nasdaq,Manufacturing,141.4,2,1995,5.009,13.375
278864,210130002,Ecogen Inc,13.2,Nasdaq,Manufacturing,113.2,2,1995,6,8
44042H,210131002,Horizon Healthcare Corp,15.93,New York,Healthcare,48.6,8,1995,6.444,4.5
172736,210341002,Circon Corp,16,Nasdaq,Manufacturing,101.7,3,1995,5.5,16
947423,210351002,Del Webb Corp,30,New York,Construction,147.7,1,1995,6,12
984779,210487002,Yankee Energy System Inc,13.95,New York,Gas Distribution,99.3,4,1995,4.215,23.25
751581,210504002,Ramsay-HMO,21.25,Nasdaq,Healthcare,31.3,8,1995,5.76,12.5
640376,210505002,Thomas Nelson Inc,16.25,Nasdaq,Manufacturing,151.1,2,1995,5.6,12.5
207410,210619002,CONMED Corp,18.5,Nasdaq,Manufacturing,34.4,3,1995,5.676,18.5
832248,210775002,Smithfield Foods Inc,26.563,New York,Manufacturing,292.9,2,1995,4.706,21.25
552880,210950002,MGI PHARMA Inc,16.5,Nasdaq,Manufacturing,87,2,1995,7,8.25
42221C,210952002,HealthInfusion Inc,22.1,Nasdaq,Healthcare,68.9,8,1995,6,13
886355,211013002,Tide West Oil Co,5.95,Nasdaq,Natural Resource,27.1,1,1995,10,2.125
384632,211025002,Graham-Field Health Products,21,New York,Wholesale,77.3,5,1995,6.429,7
007942,211064002,ADVANTA Corp,23.1,Nasdaq,Credit Inst.,251.2,6,1995,5.515,16.5
641423,211280002,Nevada Power Co,52.5,New York,Electric Service,558.5,4,1995,3.543,17.5
855009,211424002,Staodyn Inc,3.4,Nasdaq,Manufacturing,15.4,3,1995,10,4.25
607406,211601002,Mobile Telecom Technologies,24.5,Nasdaq,Radio/TV/Telecom,226.9,4,1995,6.571,7
904677,211693002,Unifi Inc,79.8,New York,Manufacturing,765.4,2,1995,3.759,33.25
846819,211694002,Spartan Motors Inc,6.6,Nasdaq,Manufacturing,63.1,3,1995,7.75,12
913900,211795002,Universal International,5.844,Nasdaq,Wholesale,41.6,5,1995,7.529,10.625
867833,211843034,Sunshine Mining Co,56.697,New York,Natural Resource,56.7,1,1995,,
707832,211883002,Penn Traffic Co,33.6,Nasdaq,Retail,175.3,5,1995,5.25,24
